ABC-book	букварь
eyeshot	поле зрения
field-mouse	полевая мышь
field-allowance	полевая норма снабжения
field-gun	полевая пушка
field-glasses	полевой бинокль
field-telephone	полевой телефон
feldspar	полевой шпат
helpful	полезный considerate
flight	полет (тж. перен.)
flight-deck	полетная палуба (на авианосце)
furbish	полировать
fire-policy	полис (страхования от огня)
non-co-operation	политика бойкота
highbinder	политический интриган
leg-puller	политический интриган
manhunt	полицейская облава
hob	полка в камине для подогревания пищи
group-captain	полковник авиации (в Англии)
half-crown	полкроны (монета в 2 шиллинга 6 пенсов)
half-mile	полмили
panful	полная кастрюля и пр. {см. pan II 1
mugful	полная кружка (чего-л.)
netful	полная сеть
pailful	полное ведро
impedance	полное сопротивление
feature-length	полнометражный
entirely	полностью
embonpoint	полнота
entirety	полнота
fullness	полнота
midnight	полночь
entire	полный
fubsy	полный
full	полный
full-bodied	полный
higgledy-piggledy	полный беспорядок
houseful	полный дом
flunk	полный провал
mouthful	полный рот (чего-л.)
eventful	полный событий
doubtful	полный сомнений
eager	полный страстного желания
full-pelt	полным ходом
doormat	половик для вытирания ног
moiety	половина
paedophilia	половое извращение
dick	половой член
on-position	положение включения
off-position	положение выключения
juniority	положение младшего/подчиненного
pagehood	положение пажа
misplace	положить
grubber	полольщик
moonbeam	полоса лунного света
gingham	полосатая или клетчатая бумажная или льняная материя из крашеной пряжи
fascia	полоска
gargle	полоскание (для горла)
jack-towel	полотенце (общего пользования , на ролике)
horse-towel	полотенце на ролике (для общественного пользования)
linen	полотно
mag	полпенни болтовня
midway	полпути
half-sovereign	полсоверена (английская золотая монета в десять шиллингов)
half-timer	полубезработный
oxford	полуботинок (тж. Oxford shoe)
half-yearly	полугодовой
half-track	полугусеничная машина
half-back	полузащитник
half-round	полукруг
gouge	полукруглое долото
half-truth	полуправда
dilapidation	полуразрушенное состояние
dilapidated	полуразрушенный
hemistich	полустишие
half-tone	полутон
half-light	полутьма
derivable	получаемый
derive	получать
obtain	получать
ensue	получаться в результате
grantee	получающий в дар
donee	получающий дар
kiteflying	получение денег по фиктивным векселям
first-hand	полученный из первых рук
outmanoeuvre	получить преимущество более искусным маневрированием
hemisphere	полушарие
gloria	полушелковая ткань 'глория' для зонтов
domett	полушерстяная ткань
mite	полушка
half-pound	полфунта
half-price	полцены
fruition	пользование какими-л. благами
leasehold	пользование на правах аренды
incumbent	пользующийся бенефицием священник
disreputable	пользующийся дурной репутацией
ill-spoken	пользующийся дурной репутацией
louche	пользующийся дурной репутацией
notorious	пользующийся дурной славой
lodestar	Полярная звезда
fondant	помадка
orange-blossom	померанцевый цвет
dung	помет
hindrance	помеха
kooky	помешанный
moonhead	помешанный
moonstruck	помешанный
front-page	помещаемый на первой странице (газеты)
install	помещать
invest	помещать
juxtapose	помещать бок о бок
enshrine	помещать в раку
laird	помещик
landlord	помещик
manor-house	помещичий дом
mansion-house	помещичий дом
love-apple	помидор
miserere	'помилуй мя
mindful	помнящий
dish-water	помои
draff	помои
milling	помол и пр. {см. mill I 2}
helper	помощник
helpmate	помощник
helping	помощь
obscuration	помрачение
disrate	понижать в разряде
droop	понижение
diarrhoea	понос
doughnut	пончик
notion	понятие
intelligibility	понятность
intelligible	понятный
misapprehend	понять ошибочно
fiduciary	попечитель
float-plane	поплавковый гидросамолет
nuthatch	поползень
horse-cloth	попона
mumper	попрошайка
panhandling	попрошайничество
jack-in-the-box	попрыгунчик (игрушечная фигурка , выскакивающая из коробки , когда открывается крышка)
head-liner	популярный актер
endeavour	попытка
leg-pull	попытка одурачить кого-л.
enslaver	поработитель
enslave	порабощать
enslavement	порабощение
flabbergast	поражать
overthrow	поражение
overturn	поражение
doty	пораженный гнилью (о древесине)
jaundiced	пораженный желтухой
mildewy	пораженный милдью
horror-stricken	пораженный ужасом
horror-struck	пораженный ужасом
impeachment	порицание
flogging	порка
hiding	порка
lashing	порка
leathering	порка
licking	порка
fifty-fifty	поровну
doorstep	порог
high-bred	породистый
intermarry	породниться
engender	порождать
generate	порождать
heathery	поросший
moss-grown	поросший мхом
ferny	поросший папоротником
depravity	порочность
insect-powder	порошок от насекомых
gantry	портал подъемного крана
gantry-crane	портальный кран
handie-talkie	портативная дуплексная радиостанция (для связи на ходу)
dressmaker	портниха
modiste	портниха
fashioner	портной
harbour-dues	портовые сборы
longshoreman	портовый грузчик
lumper	портовый грузчик
holdall	портплед
identikit	портрет (преступника и т. п.) , составленный по описанию
kit-cat	портрет несколько меньше поясного (тж. kit-cat portrait)
limner	портретист
iconic	портретный
drape	портьера
miscast	поручать актеру неподходящую роль
errand	поручение
guarantor	поручитель
flutter	порхание
flitter	порхать
gust	порыв ветра
ordinal	порядковый
kilter	порядок
order	порядок
embarkation	посадка
grounding	посадка на мель
heeler	посадчик каблука
oblate	посвятивший себя (монашеской жизни и т. п.)
devote	посвящать
ordain	посвящать в духовный сан
ordination	посвящение в духовный сан
hutment	поселок из нескольких хижин
epistle	послание
envoy	посланник
dernier	последний
lattermost	последний
kirn	последний сноп жатвы
greats	последний экзамен на степень бакалавра (преим. гуманитарных наук в Оксфорде)
following	последователи
follower	последователь
dichotomy	последовательное деление целого на две части
obedience	послушание
noviciate	послушничество
novitiate	послушничество
governable	послушный
obedient	послушный
laughing-stock	посмешище
dole	пособие по безработице
embassy	посольство
hastily	поспешно
lam	поспешное бегство
hastiness	поспешность
hasty	поспешный
go-between	посредник
intermediary	посредник
intermediator	посредник
mediator	посредник
mediatrix	посредница
mediatorial	посреднический
intermediation	посредничество
mediation	посредничество
mediocrity	посредственность
mean	посредственный
mediocre	посредственный
instrumentality	посредство
fast	пост
fasting	пост
furnisher	поставщик (особ. мебели)
outfitter	поставщик снаряжения
gradually	постепенно
ingravescent	постепенно ухудшающийся (о болезни)
fadeaway	постепенное исчезновение
fade-out	постепенное исчезновение (звука или изображения)
fade-in	постепенное появление (звука или изображения)
gradual	постепенный
intuit	постигать интуитивно
outsider	посторонний (человек) не принадлежащий к данному учреждению , кругу , партии
evergrowing	постоянно
immanence	постоянное
immanency	постоянное
hangout	постоянное место сборищ/встреч
domicile	постоянное местожительство
kentledge	постоянный балласт
frequenter	постоянный посетитель
haunter	постоянный посетитель
first-nighter	постоянный посетитель театральных премьер
jerry-built	построенный на скорую руку
disoblige	поступать нелюбезно
enlistee	поступивший на военную службу
inpayments	поступление извне
footfall	поступь
dish-cloth	посудное
dispatch-boat	посыльное судно
hiding-place	потаенное место
lurking-place	потаенное место
oubliette	потайная
hand-play	потасовка
down-at-heel	потертый
deprivation	потеря
forfeiture	потеря
loss	потеря
foot-fault	потеря подачи из-за неправильного положения ног подающего (в теннисе) , зашаг
distraught	потерявший рассудок
lost	потерянный и пр. {см. lose}
diaphoretic	потогонный
outpour	поток
freshet	поток пресной воды
descendant	потомок
expendable	потребляемый
disembowel	потрошить
embowel	потрошить
eviscerate	потрошить
fab	потрясающий
gobsmacked	потрясающий
joggle	потряхивание
extra-mundane	потусторонний
extinct	потухший
edify	поучать
moral	поучение
enlightening	поучительный
instructive	поучительный
laudable	похвальный
name-drop	похваляться знакомством с видными людьми
kidnapper	похититель (людей , особ. детей)
gait	походка
folding-bed	походная кровать
marching	походное движение
like	похожий
muttony	похожий на баранину
haggish	похожий на ведьму
gnomish	похожий на гнома
leathery	похожий на кожу
moony	похожий на луну
lactescent	похожий на молоко
ghostly	похожий на привидение
owlish	похожий на сову
fruity	похожий на фрукты (по вкусу , запаху и т. п.)
flaky	похожий на хлопья
funerary	похоронный
funereal	похоронный
obsequial	похоронный
knell	похоронный звон
exequies	похороны
funeral	похороны
obsequies	похороны
lewd	похотливый
lustful	похотливый lewd
kiss	поцелуй
edaphology	почвоведение
humanly	по-человечески
handwriting	почерк
nigrescence	почернение
honorary	почетный
honorific	почетный
honourable	почетный
freeman	почетный гражданин города
nephritic	почечный
initiative	почин
mending	починка
gemma	почка
kidney	почка
gemmiferous	почконосный
mailman	почтальон
homage	почтение
gravel-blind	почти слепой
letter-paper	почтовая бумага
note-paper	почтовая бумага
mail-cart	почтовая карета
packet-boat	почтово-пассажирское судно
letter-weight	почтовые весы
mail-car	почтовый вагон
homer	почтовый голубь
messenger-pigeon	почтовый голубь
mail-boat	почтовый пароход
mail-plane	почтовый самолет
letter-box	почтовый ящик
mailbox	почтовый ящик
low-minded	пошлый
laker	поэт 'Озерной школы'
lyricist	поэт-песенник
forthcoming	появление
emersion	появление (обыкн. солнца , луны после затмения)
emerge	появляться
girdle	пояс
exemplification	пояснение примером
loin	поясница
lumbar	поясничный
half-length	поясной портрет
governor	правитель
medicare	правительственная программа медицинской помощи (особ. престарелым)
governmental	правительственный
government	правительство
gerontocracy	правительство или правление старейших
great-grandchild	правнук
entree	право входа
pannage	право выпаса свиней в лесу
eligibility	право на избрание
lien	право наложения ареста на имущество должника
legist	правовед
dextrogyrate	правовращающий
law-breaker	правонарушитель
offender	правонарушитель
law-enforcement	правоохранительный
dexter	правый
great-grandfather	прадед
festival	празднество
fete	празднество
gala	празднество
jubilee	празднество
feast-day	праздник
fiesta	праздник
holiday	праздник
festal	праздничный
festive	праздничный
go-to-meeting	праздничный
encaenia	празднование годовщины (основания)
house-warming	празднование новоселья
house-warm	праздновать новоселье
idleness	праздность
lotus-eater	праздный мечтатель
nitty-gritty	практически важный
down-to-earth	практический
hands-on	практический
hard-headed	практичный
hardhead	практичный человек
laundry	прачечная
launderette	прачечная самообслуживания
laundress	прачка
indwelling	пребывание (где-л.)
outdo	превзойти
outrival	превзойти
outgeneral	превзойти в военном искусстве
outvie	превзойти в состязании
out-Herod	превзойти Ирода в жестокости (тж. to out-Herod Herod)
extol	превозносить praise
excel	превосходить
outmatch	превосходить
outdare	превосходить дерзостью
overmatch	превосходить силой
outbrave	превосходить храбростью
outnumber	превосходить численно
excellent	превосходный
jim-dandy	превосходный
nailing	превосходный
excellence	превосходство
liquefy	превращать в жидкое состояние
liquidize	превращать в жидкость
institutionalize	превращать в институт
lapidify	превращать в камень
feudalize	превращать в лен (землю)
enisle	превращать в остров
ossify	превращать(ся) в кость
fossilize	превращать(ся) в окаменелость
gelatinize	превращать(ся) в студень
overdraw	превысить кредит (в банке)
oversubscribe	превысить намеченную сумму (при подписке и т. п.)
exceed	превышать
occlude	преграждать
occlusion	преграждение
fore-	пред-
inhume	предавать земле
inter	предавать земле
inhumation	предание земле
devotedly	преданно
devotion	преданность
devoted	преданный
harbinger	предвестник premonition
forebode	предвещать
ill-omened	предвещающий несчастье
foresight	предвидение
foreknowledge	предвидение farsightedness
foretaste	предвкушение
electioneering	предвыборная кампания
gerrymander	предвыборные махинации
foot-hill	предгорье
omen	предзнаменование
foreshadow	предзнаменовать
foreword	предисловие
offer	предложение
offering	предложение
faubourg	предместье
goose-neck	предмет
half-pounder	предмет
object	предмет
fitment	предмет обстановки
garment	предмет одежды
destined	предназначенный
fated	предопределенный
foreordain	предопределять
dismissal	предоставление отпуска
discretionary	предоставленный на собственное усмотрение
enfranchise	предоставлять избирательные права
forewarn	предостерегать
monitory	предостерегающий
dress-guard	предохранительная сетка (на дамском велосипеде)
half-cock	предохранительный взвод
injunction	предписание
enact	предписывать
enjoin	предписывать (on , upon)
forearm	предплечье заранее вооружаться
guess	предположение
enterprising	предприимчивый
go-go	предприимчивый
employer	предприниматель
forecast	предсказание
forecaster	предсказатель
dynast	представитель династии
deputize	представлять (кого-л. for)
misrepresent	представлять в ложном свете
impending	предстоящий
fore-runner	предтеча
forestall	предупреждать
forethought	предусмотрительность
forethoughtful	предусмотрительный
forward-looking	предусмотрительный
foregoing	предшествующий
indict	предъявлять обвинение to be indicted for theft (или on a charge of theft)
erenow	прежде
erst	прежде
heretofore	прежде
erstwhile	прежний
flout	презирать
despise	презирать abhor
disdain	презрение
despicable	презренный contemptible
jeer	презрительная насмешка
disdainful	презрительный
fleer	презрительный взгляд
joinder	преим. объединение
detrition	преим. стирание
hero-worship	преклонение перед героями
genuflect	преклонять колена
kneel	преклонять колени
deregulate	прекращать регулирование
derequisition	прекращать реквизицию собственности (в пользу государства)
discontinuance	прекращение
let-up	прекращение
nonsuit	прекращение иска
hartal	прекращение работы и торговли (в знак протеста или траура)
deregulation	прекращение регулирования
first-night	премьера
omit	пренебрегать
indignity	пренебрежение
neglect	пренебрежение
depreciatingly	пренебрежительно
games-master	преподаватель физкультуры
games-mistress	преподавательница физкультуры
magistral	преподавательский
drawback	препятствие
encumbrance	препятствие
holdback	препятствие
impediment	препятствие
obstacle	препятствие
hamper	препятствовать
impede	препятствовать
inhibit	препятствовать
militate	препятствовать
impedimental	препятствующий
inhibitory	препятствующий
interrupter	прерыватель
intercut	прерывать
interrupt	прерывать
discontinue	прерывать(ся)
discontinuous	прерывистый
haunting	преследующий
freshwater	пресноводный
limnetic	пресноводный
outre	преступающий границы
misdeed	преступление
evil-doer	преступник
malefactor	преступник
felonry	преступные элементы
felonious	преступный
flagitious	преступный
malfeasant	преступный
exaggeration	преувеличение
hyperbole	преувеличение
overstatement	преувеличение
exaggeratedly	преувеличенно
exaggerated	преувеличенный
overdone	преувеличенный
exaggerate	преувеличивать
overstate	преувеличивать
exaggerative	преувеличивающий
downplay	преуменьшать
intercalary	прибавленный для согласования календаря с солнечным годом (день 29 февраля)
intercalate	прибавлять
oncoming	приближение
imminence	приближение (чего-л.)
detector	прибор для обнаружения
inshore	прибрежный
littoral	прибрежный
inbound	прибывающий
gain	прибыль
lucre	прибыль
lucrative	прибыльный
halt	привал
derangement	приведение в беспорядок
fastidious	привередливый
henchman	приверженец
episcopalian	приверженец или член епископальной церкви
minimalist	приверженец минимализма
howdy	привет!
greeting	приветствие
greet	приветствовать
inarch	прививать (растение) сближением
grafting	прививка
inoculation	прививка
inoculative	прививочный
inoculum	прививочный материал
ghost	привидение
favoured	привилегированный
dinky	привлекательный
fetching	привлекательный
inviting	привлекательный
lovable	привлекательный
nice-looking	привлекательный
high-profile	привлекающий внимание
derange	приводить в беспорядок
ecstasize	приводить в восторг
impel	приводить в движение
methodize	приводить в систему
dishearten	приводить в уныние
infuriate	приводить в ярость
exemplify	приводить пример (in) Our ideas about right and wrong are exemplified in the laws.
driving-belt	приводной ремень
graft	привой
grafter	привой
gate-keeper	привратник
janitor	привратник
high-fed	привыкший к роскошному столу
domestication	привычка
habit	привычка
habitude	привычка
invitational	пригласительный
invite	приглашать
invitation	приглашение
invitee	приглашенный
hushfully	приглушенно
muted	приглушенный
judgement	приговор
lifer	приговоренный к пожизненному заключению
inhabitable	пригодный для жилья
fair-weather	пригодный только в хорошую погоду
fitting	пригонка
handful	пригоршня
microtomy	приготовление гистологических срезов
novelize	придавать (произведению) форму романа обновлять
dignify	придавать достоинство
embrown	придавать коричневый или бурый оттенок
emphasize	придавать особое значение
officialize	придавать официальный характер
orientalize	придавать/приобретать восточный/азиатский характер
out-	придает глаголам значение превосходства
dis-	придает слову отрицательное значение не-
dowry	приданое
layette	приданое новорожденного
over-measure	придача
fault-finder	придира
nagger	придира
fault-finding	придирки
lay-by	придорожная площадка для стоянки автомобилей
fictionalize	придумывать
oafish	придурковатый
entertainment	прием (гостей)
garden-party	прием гостей в саду
eating	прием пищи
frog-march	прием подавления сопротивления при аресте (когда четыре полицейских несут человека за ноги и за руки лицом вниз)
intake	приемное
foster-parents	приемные родители (без формального усыновления)
foster-father	приемный отец
foster-child	приемыш
double-stop	прижать две струны одновременно (при игре на скрипке и т. п.)
homologate	признавать
invocation	призыв
invoke	призывать
obtest	призывать (небо) в свидетели
draftee	призывник
inductee	призывник
invocatory	призывный
mandamus	приказ высшей судебной инстанции низшей
mittimus	приказ о заключении в тюрьму
insectology	прикладная энтомология
engineering	прикладной (о науке)
errantry	приключения странствующего рыцаря
fingering	прикосновение пальцев
fasten	прикреплять
diligence	прилежание
diligent	прилежный
fluxion	прилив крови или жидкости (к лицу и др. частям тела)
eagre	приливный вал в устье реки
gentlemanlike	приличествующий джентльмену
diva	примадонна
overkill	применение средств поражения избыточной мощности
etherization	применение эфирного наркоза
example	пример
instance	пример
fitting-room	примерочная
pacificatory	примирительный
lotion	примочка
eyewash	примочка для глаз
far-fetched	принесенный или привезенный издалека
off-air	принимаемый непосредственно с эфира
entertain	принимать
forejudge	принимать предвзятое решение
fieldsman	принимающий игрок (в крикете)
immolate	приносить в жертву
detrimental	приносящий убыток
forced	принудительный
fain	принужденный (to)
determined	принявший решение
matriculate	принять или быть принятым в высшее учебное заведение
getter	приобретатель
lay-off	приостановка/сокращение производства
fit	припадок
huff	припадок раздражения
fomentation	припарка
interlineation	приписка
elation	приподнятое настроение
flavouring	приправа
nature	природа (при олицетворении
lac	природный лак
domesticate	приручать (животных)
embezzle	присваивать
deplorable	прискорбный
lamentable	прискорбный
maid-of-all-work	прислуга
mis-	присоединяется к глаголам и отглагольным существительным
gadget	приспособление	
non-skid	приспособление против буксования колес	
gressorial	приспособленный для ходьбы
molestation	приставание
molest	приставать
fixedly	пристально
gazer	пристально глядящий человек
gaze	пристальный взгляд
landing-stage	пристань
marina	пристань для яхт
lean-to	пристройка с односкатной крышей
mourner	присутствующий на похоронах
immanent	присущий
inherent	присущий
novercal	присущий
lordly	присущий лорду
inhesion	присущность
jury	присяжные
juror	присяжный
juryman	присяжный
falsely	притворно
feigningly	притворно
feigned	притворный
make-believe	притворство
dissimulator	притворщик
feign	притворяться
malinger	притворяться больным
oppression	притеснение
oppress	притеснять
indraught	приток
influent	приток
flash-house	притон
fencing-ken	притон для хранения краденого
habituate	приучать
inure	приучать
inurement	приучение
incoming	приход
enthuse	приходить в восторг (about/over) The public are enthusing over the new play. Jane has been enthusing over the boy next door recently.
dilapidate	приходить или приводить в упадок
gate-crash	приходить незваным
oncer	прихожанин
fad	прихоть
hobble	прихрамывающая походка
hind-carriage	прицеп
mooring-mast	причальная мачта (для дирижаблей)
dreadlocks	прическа
hair-do	прическа
infliction	причинение (страдания)
painful	причиняющий боль
ground-in	пришлифованный
foundling-hospital	приют
enjoyable	приятный
likable	приятный
gustation	проба на вкус
hiatus	пробел
hallmark	пробирное клеймо
gridlock	пробка (на дорогах)
glitch	проблема
glimmering	проблеск
fiasco	провал
drat	провались ты!
follow-up	проверка исполнения
jerque	проверять судовые документы и груз
hick	провинциал
electioneer	проводить предвыборную кампанию
guide	проводник
escort	провожатый
nimble	проворный
dexterity	проворство
entrapment	провоцирование на уголовно наказуемое деяние
glade	прогалина
hogging	прогиб
outreach	программа помощи неимущим или нуждающимся
over-the-counter	продаваемый в розницу
overbook	продавать больше билетов
oversell	продавать сверх своих запасов (товары и т. п.)
outsell	продаваться лучше/дороже
monger	продавец
news-vendor	продавец газет
milkman	продавец молока
onward	продвигающийся
furtherance	продвижение
food-card	продовольственная карточка
food-stuffs	продовольствие
hatchet-face	продолговатое лицо с острыми чертами
oblong	продолговатый
outlast	продолжаться дольше
night-long	продолжающийся всю ночь
duration	продолжительность
life-span	продолжительность жизни
lifetime	продолжительность жизни
fore-and-aft	продольный
longitudinal	продольный
distillate	продукт перегонки
kitchen-stuff	продукты для кухни
output	продукция
designing	проектирование
embrasure	проем в стене
inhabitancy	проживание (где-л.
edacity	прожорливость
edacious	прожорливый
gluttonous	прожорливый greedy
nickname	прозвище
hunker	прозвище консервативного члена демократической партии
limpidity	прозрачность
diaphanous	прозрачный
limpid	прозрачный тж. (о языке , стиле и т. п.) transparent
juke-box	проигрыватель-автомат (в кафе , дансинге и т. п.)
losing	проигрыш
generator	производитель
mass-produce	производить
experimentalize	производить опыты
derivative	производное слово
manufacture	производство
manufacturing	производство
generative	производящий
impressive	производящий глубокое впечатление
imposing	производящий сильное впечатление
high-handedness	произвол
orate	произносить речь
overnight	происходивший накануне вечером
midweek	происходящий в середине недели
high-level	происходящий на большой высоте
open-air	происходящий на открытом воздухе
off-peak	происходящий не в час пик
lineal	происходящий по прямой линии
derivation	происхождение
genesis	происхождение
leper	прокаженный
leprous	прокаженный
leprosy	проказа
impish	проказливый
impale	прокалывать
flatting	прокатка
gasket	прокладка
interleaf	прокладка из белой бумаги (между листами книги)
interleave	прокладывать белую бумагу (между листами книги) (with) The book of flower drawings was interleaved with transparent paper to protect the pictures.
imprecate	проклинать
imprecatory	проклинающий
execration	проклятие
malison	проклятие
imprecation	проклятие curse
malediction	проклятие curse
dratted	проклятый
flipping	проклятый
fucking	проклятый
dogleg	пролет (между ступенями)
hurtle	пролетать
oil-paper	промасленная бумага
high-rolling	проматывание денег
mishit	промах
miss	промах
overshoot	промахнуться (при стрельбе)
in-between	промежуток
interstice	промежуток
interval	промежуток
interspace	промежуток (пространства , времени) , интервал
interim	промежуток времени
knee-hole	промежуток между тумбами (у письменного стола)
intermediate	промежуточное звено
mediate	промежуточный
drench	промокание
lavement	промывание
game-fish	промысловая рыба
industrialist	промышленник
industry	промышленность
industrial	промышленный
overblown	пронесшийся (о буре и т. п.)
impenetrate	проникать вглубь
ingrained	проникающий
indoctrinated	проникнутый какой-л. доктриной
insight	проницательность
image-building	пропагандистская реклама
intertill	пропахивать
majuscule	прописная буква (в средневековых рукописях)
oiled	пропитанный маслом
oil-stained	пропитанный нефтью
evangelism	проповедование Евангелия
evangelize	проповедывать Евангелие
homily	проповедь
let-pass	пропуск
omission	пропуск
infiltrate	пропускать (жидкость) через фильтр
germination	прорастание
dentition	прорезывание или рост зубов
fatidical	пророческий
oracular	пророческий
enlighten	просвещать
enlightenment	просвещение
enlightened	просвещенный
glorification	прославление
glorify	прославлять
millet	просо
oversleep	проспать
non-claim	просрочка в предъявлении иска
gaby	простак
muggins	простак
noddy	простак
extend	простирать(ся)
forgivable	простительный
harlot	проститутка
guileless	простодушный naive
downtime	простой
homely	простой
onefold	простой
outage	простой
elbow-room	простор (для движения)
homeliness	простота
dupe	простофиля
nincompoop	простофиля
exudation	проступание
miscount	просчет
obsecration	просьба
outdance	протанцевать дольше других
distasteful	противный
mawkish	противный на вкус
gas-mask	противогаз
malpractice	противозаконное действие
inverse	противоположность
opposed	противоположный
oppose	противопоставлять (with , against)
duct	проток
extent	протяжение
drawl	протяжное произношение
extended	протянутый
outstretched	протянутый
occupational	профессиональный
journalism	профессия журналиста
elapse	проходить
estoppel	процессуальный отвод
durability	прочность
fastness	прочность и пр. {см. fast II 1}
durable	прочный
home-felt	прочувствованный
overpast	прошедший
loath-to-depart	прощальная песнь
farewell	прощание
good-bye	прощание
leave-taking	прощание
forgiveness	прощение
let-off	прощение
manifestation	проявление
evince	проявлять
emote	проявлять показные чувства
hesitative	проявляющий колебание
grandmotherly	проявляющий материнскую заботу
impoundment	пруд
fish-pond	пруд для разведения рыбы
flick-knife	пружинный
galumph	прыгать от радости
jumper	прыгун
diver	прыгун в воду
frisk	прыжок
gambol	прыжок
hop	прыжок
jump	прыжок
leap	прыжок
header	прыжок/падение в воду вниз головой
ear-lock	прядь волос
forelock	прядь волос на лбу
ouch	пряжка
distaff	прялка
directly	прямо
endlong	прямо
direct	прямой
downright	прямой
erect	прямой
forthright	прямой
outright	прямой
integrity	прямота
orthogonal	прямоугольный
nutcase	псих
nutter	псих
nestling	птенец
flyer	птица
fowl	птица (тж. собир.)
lyre-bird	птица-лира
fowler	птицелов
hennery	птицеферма
fowl-run	птичий двор
joy-house	публичный дом
guy	пугало
frighten	пугать
intimidate	пугать
gun-shy	пугающийся выстрелов (особ. об охотничьих собаках)
jittery	пугливый
ice-bag	пузырь для льда
machine-gun	пулемет
machine-gunner	пулеметчик
dumdum	пуля 'дум-дум' (тж. dumdum bullet)
omphalos	пуп
mayweed	пупавка полевая
navel-string	пуповина
navel	пупок
omphalocele	пупочная грыжа
launcher	пусковая установка
guff	пустая болтовня
kestrel	пустельга (птица)
empty-headed	пустоголовый
idle-headed	пустоголовый
logomachy	пустое словопрение
empty	пустой
fiddling	пустой
frivolous	пустой
inane	пустой
end-paper	пустой лист в начале и в конце книги
emptiness	пустота
hollow	пустота
inanity	пустота
desert	пустыня
fiddle-faddle	пустяки
footling	пустяковый
paltry	пустяковый
nugatory	пустячный
embroilment	путаница
imbroglio	путаница
mix-up	путаница
mull	путаница
muss	путаница
guide-book	путеводитель
hiker	путешественник
hitch-hike	путешествовать
lorry-hop	путешествовать
itenerant	путешествующий
fetterlock	путы для лошади
down	пух
fluff	пух
fuzz	пух
duvet	пуховое одеяло
goggle-eyed	пучеглазый
lobster-eyed	пучеглазый
fascicle	пучок
fasces	пучок прутьев ликтора
flock	пушинка
downiness	пушистость
downy	пушистый
fluey	пушистый
fluffy	пушистый
fuzzy	пушистый
palsgrave	пфальцграф
eagerness	пыл
dust-proof	пыленепроницаемый
mote	пылинка
hot-blooded	пылкий
hot-spirited	пылкий
dust	пыль
dust-storm	пыльная буря
dust-coat	пыльник (плащ)
dusty	пыльный
inquisitive	пытливый
pageant	пышное зрелище
pageantry	пышное зрелище
high-sounding	пышный
finery	пышный наряд
drinker	пьющий
dram-drinker	пьяница
drunkard	пьяница
inebriate	пьяница
malt-worm	пьяница
drunk	пьяный
drunken	пьяный
music-stand	пюпитр (для нот)
metacarpus	пясть
fiver	пятерка (пять фунтов стерлингов или пять долларов)
five-day	пятидневный
fivefold	пятикратный
five-year	пятилетний
heel	пятка
fifteen	пятнадцать
macula	пятно
finger-mark	пятно от пальца
five	пять
jitney	пять центов
fifty	пятьдесят
obsequiousness	раболепие
fawning	раболепный
obsequious	раболепный
eye-service	работа
field-work	работа в поле (геолога и т. п.)
outwork	работа вне мастерской
footwork	работа ног (в спорте , танцах и т. п.)
housework	работа по дому
journey-work	работа по найму
lucubrate	работать
operate	работать
free-lance	работать не по найму
oil-fired	работающий на нефти
free-lancer	работающий по найму
dogsbody	работяга
fatigue-party	рабочая команда
fatigue-dress	рабочая одежда солдата
manpower	рабочая сила
full-timer	рабочий
labouring	рабочий
mudlark	рабочий
munition-worker	рабочий военного завода
flyman	рабочий на колосниках
